GridX,GridY,Longitude,Latitude,,,,,,,,
100,105,0.000881866,0.000949597,,,,,,,,
100,105,0.000881745,0.000949554,,,,,,,,
100,105,0.000881602,0.000949629,,,,,,,,
100,105,0.000881789,0.000949501,,,,,,,,
100,105,0.000881653,0.000949579,,,,,,,,
100,105,0.000881559,0.00094959,,,,,,,,
100,105,0.000881612,0.000949572,,,,,,,,
100,105,0.000881586,0.000949509,,,,,,,,
100,105,0.000881512,0.000949578,,,,,,,,
100,105,0.000881657,0.000949577,,,,,,,,
100,105,0.000881571,0.000949581,,,,,,,,
100,105,0.000881512,0.000949555,,,,,,,,
100,105,0.000881769,0.000949565,,,,,,,,
100,105,0.000881605,0.000949654,,,,,,,,
100,105,0.000881573,0.000949588,,,,,,,,
100,105,0.00088165,0.000949597,,,,,,,,
100,105,0.000881589,0.00094965,,,,,,,,
100,105,0.000881541,0.000949532,,,,,,,,
100,105,0.000881691,0.000949537,,,,,,,,
100,105,0.000881834,0.00094958,,,,,,,,
200,105,0.00178072,0.000949643,,,,,,,,
200,105,0.00178046,0.000949596,,,,,,,,
200,105,0.0017803,0.000949569,,,,,,,,
200,105,0.00178071,0.000949568,,,,,,,,
200,105,0.00178023,0.000949569,,,,,,,,
200,105,0.00178019,0.000949655,,,,,,,,
200,105,0.00178016,0.000949528,,,,,,,,
200,105,0.00178022,0.00094953,,,,,,,,
200,105,0.00177994,0.000949537,,,,,,,,
200,105,0.0017803,0.000949526,,,,,,,,
200,105,0.00178028,0.000949586,,,,,,,,
200,105,0.00177986,0.000949562,,,,,,,,
200,105,0.00178037,0.000949594,,,,,,,,
200,105,0.00178017,0.000949557,,,,,,,,
200,105,0.00178008,0.000949672,,,,,,,,
200,105,0.00178022,0.000949581,,,,,,,,
200,105,0.00178021,0.000949659,,,,,,,,
200,105,0.00178013,0.000949524,,,,,,,,
200,105,0.00178026,0.000949647,,,,,,,,
200,105,0.00178076,0.000949598,,,,,,,,
300,105,0.00267919,0.000949542,,,,,,,,
300,105,0.00267924,0.000949599,,,,,,,,
300,105,0.00267915,0.000949594,,,,,,,,
300,105,0.00267964,0.000949527,,,,,,,,
300,105,0.0026794,0.000949562,,,,,,,,
300,105,0.00267889,0.000949649,,,,,,,,
300,105,0.00267878,0.00094954,,,,,,,,
300,105,0.00267887,0.000949543,,,,,,,,
300,105,0.00267856,0.000949542,,,,,,,,
300,105,0.00267897,0.000949658,,,,,,,,
300,105,0.00267899,0.000949689,,,,,,,,
300,105,0.00267925,0.000949574,,,,,,,,
300,105,0.00267897,0.000949547,,,,,,,,
300,105,0.00267874,0.000949596,,,,,,,,
300,105,0.00267865,0.000949575,,,,,,,,
300,105,0.00267918,0.000949536,,,,,,,,
300,105,0.00267885,0.000949658,,,,,,,,
300,105,0.00267897,0.000949644,,,,,,,,
300,105,0.00267883,0.000949619,,,,,,,,
300,105,0.00267968,0.000949587,,,,,,,,
400,105,0.00357806,0.000949552,,,,,,,,
400,105,0.00357796,0.000949689,,,,,,,,
400,105,0.00357802,0.000949603,,,,,,,,
400,105,0.00357673,0.00094952,,,,,,,,
400,105,0.00357678,0.000949542,,,,,,,,
400,105,0.00357753,0.000949553,,,,,,,,
400,105,0.00357735,0.000949556,,,,,,,,
400,105,0.00357755,0.000949572,,,,,,,,
400,105,0.0035772,0.000949575,,,,,,,,
400,105,0.00357782,0.000949572,,,,,,,,
400,105,0.0035777,0.000949644,,,,,,,,
400,105,0.00357688,0.000949485,,,,,,,,
400,105,0.00357757,0.000949583,,,,,,,,
400,105,0.00357743,0.000949588,,,,,,,,
400,105,0.00357727,0.000949616,,,,,,,,
400,105,0.00357825,0.000949536,,,,,,,,
400,105,0.00357763,0.000949575,,,,,,,,
400,105,0.00357782,0.000949593,,,,,,,,
400,105,0.00357745,0.000949507,,,,,,,,
400,105,0.00357687,0.000949645,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Long100,Long200,Long300,Long400,Latitude105
,,,,,,Mean,0.000881646,0.001780279,0.00267904,0.003577494,0.000949581
,,,,,,Median,0.000881609,0.001780225,0.00267897,0.00357754,0.000949576
